5,10,20,30,40,50,60
0.55479,0.200222,0.151395,0.079444,0.002086,0.001605,0.001753
0.531704,0.406272,0.167728,0.079568,0.051568,0.002864,0.001407
0.575407,0.408099,0.225247,0.017543,0.014704,0.001481,0.001395
0.760963,0.136494,0.010099,0.004765,0.003049,0.001049,0.000988
0.741593,0.194926,0.044543,0.006926,0.004765,0.002506,0.001654
0.466012,0.274815,0.232938,0.117333,0.083284,0.001494,0.000988
0.400284,0.202531,0.070395,0.004543,0.002222,0.00179,0.001222
0.752519,0.25079,0.244136,0.105926,0.029346,0.001309,0.001111
0.684037,0.544728,0.234037,0.064988,0.064494,0.002383,0.002
0.649457,0.214481,0.143519,0.089272,0.01016,0.030864,0.030716
0.577951,0.434815,0.100037,0.004062,0.000926,0.001617,0.001272
0.515914,0.364728,0.099111,0.046395,0.004494,0.000938,0.000901
0.780519,0.55942,0.335222,0.192049,0.06842,0.002432,0.002136
0.597,0.621247,0.184926,0.052173,0.016025,0.002185,0.001815
0.68621,0.339531,0.055963,0.054667,0.002556,0.00158,0.001395
0.660123,0.446259,0.116926,0.064852,0.004506,0.030333,0.011235
0.630642,0.458827,0.159247,0.028383,0.003185,0.007741,0.001111
0.56063,0.279136,0.058877,0.029358,0.003111,0.00163,0.001309
0.642728,0.120333,0.01658,0.014383,0.001877,0.001333,0.001432
0.489605,0.037951,0.034667,0.01558,0.014309,0.002691,0.002753
0.645136,0.384889,0.170407,0.170025,0.005074,0.00221,0.001951
0.372432,0.319358,0.024506,0.019235,0.015741,0.037136,0.001481
0.498543,0.369679,0.078654,0.047852,0.004531,0.003704,0.001914
0.68763,0.118778,0.007704,0.003123,0.002543,0.044617,0.001914
0.454642,0.375654,0.051062,0.023012,0.005025,0.001444,0.00121
0.526765,0.516963,0.199321,0.072741,0.007704,0.032235,0.029926
0.341469,0.422741,0.118506,0.058506,0.004259,0.00121,0.001259
0.35516,0.191123,0.140074,0.083765,0.002198,0.003062,0.002877
0.488383,0.325012,0.162654,0.061827,0.059963,0.002407,0.001148
0.653469,0.32237,0.215654,0.003333,0.001444,0.002728,0.002716
0.436778,0.083136,0.016481,0.009889,0.009765,0.001469,0.001198
0.740173,0.443432,0.215593,0.004099,0.003457,0.001222,0.001049
0.776296,0.008704,0.007778,0.005247,0.003568,0.001679,0.001012
0.682383,0.265358,0.059988,0.013,0.011457,0.001778,0.001111
0.408062,0.199358,0.076012,0.022136,0.006543,0.001963,0.001494
0.595494,0.15242,0.080691,0.01337,0.004049,0.039667,0.016123
0.416383,0.23537,0.148198,0.145247,0.00258,0.001198,0.001086
0.651457,0.454123,0.306852,0.080222,0.078827,0.001272,0.001272
0.592494,0.252296,0.071198,0.00663,0.003519,0.003012,0.002815
0.725901,0.140543,0.003593,0.002025,0.000679,0.005716,0.005716
0.710679,0.224691,0.02,0.016852,0.003037,0.002148,0.001889
0.445926,0.199877,0.063407,0.025025,0.003469,0.001444,0.001198
0.525765,0.131321,0.10579,0.007012,0.002062,0.002198,0.001926
0.533148,0.114716,0.007111,0.005444,0.002469,0.001778,0.001605
0.423333,0.159321,0.08663,0.075185,0.017185,0.002025,0.001679
0.675679,0.17937,0.043444,0.002519,0.001617,0.006049,0.003815
0.669889,0.382494,0.061296,0.021901,0.003815,0.002506,0.002272
0.784247,0.550667,0.290481,0.11758,0.004,0.004802,0.002926
0.680654,0.356827,0.113864,0.006247,0.005654,0.001432,0.001457
0.569198,0.216691,0.084531,0.007309,0.003346,0.001432,0.00137
0.736185,0.333185,0.140259,0.06663,0.004568,0.004889,0.003383
0.695037,0.30484,0.201901,0.170494,0.017728,0.001346,0.001235
0.562284,0.341086,0.070481,0.024049,0.002642,0.001148,0.001062
0.660309,0.006,0.003642,0.004309,0.001506,0.001988,0.001469
0.64242,0.158877,0.078037,0.028963,0.002617,0.014025,0.003185
0.372383,0.508963,0.021025,0.011926,0.00363,0.002889,0.002667
0.604728,0.083407,0.06063,0.00521,0.001901,0.002988,0.001556
0.608198,0.286296,0.147889,0.048481,0.004222,0.002654,0.001778
0.542296,0.518679,0.117111,0.006864,0.003123,0.002383,0.001667
