read length,100,200,500,1000,1500
215,0.055814,0.055814,0.069767,0.069767,0.069767
480,0.079167,0.079167,0.10625,0.10625,0.10625
580,0.041379,0.025862,0.036207,0.031034,0.036207
800,0.0275,0.02,0.025,0.02625,0.025
815,0.038037,0.030675,0.022086,0.028221,0.022086
885,0.041808,0.041808,0.029379,0.029379,0.029379
1055,0.07109,0.059716,0.117536,0.070142,0.059716
1075,0.04186,0.036279,0.036279,0.04093,0.036279
1130,0.016814,0.011504,0.019469,0.015929,0.011504
1140,0.018421,0.018421,0.019298,0.014912,0.014912
1215,0.104527,0.104527,0.199177,0.093827,0.093827
1320,0.057576,0.052273,0.050758,0.052273,0.052273
1370,0.167883,0.210219,0.213869,0.208029,0.2
1385,0.088087,0.08231,0.081588,0.085921,0.08231
1415,0.038163,0.022615,0.016961,0.018375,0.015548
1425,0.013333,0.010526,0.033684,0.008421,0.008421
1495,0.12107,0.119064,0.113043,0.111706,0.111706
1500,0.028667,0.028667,0.028667,0.028667,0.028667
1505,0.114286,0.112957,0.082392,0.095681,0.090365
1530,0.028758,0.028758,0.028105,0.028105,0.027451
1535,0.063844,0.054723,0.051466,0.051466,0.050814
1575,0.048254,0.021587,0.046984,0.046984,0.022857
1580,0.137975,0.131013,0.113924,0.133544,0.132278
1600,0.129375,0.1375,0.12875,0.13125,0.1125
1685,0.005935,0.005935,0.004748,0.004748,0.004748
1715,0.079883,0.078717,0.061224,0.063557,0.063557
1735,0.045533,0.042651,0.039193,0.039193,0.039193
1745,0.046991,0.04298,0.046418,0.046418,0.040688
1800,0.069444,0.065,0.063889,0.063889,0.063889
1840,0.061957,0.052174,0.05163,0.053261,0.051087
1880,0.048404,0.047872,0.045745,0.045745,0.045745
1895,0.035356,0.023747,0.021636,0.024274,0.021636
1900,0.083684,0.082105,0.077895,0.080526,0.078421
1905,0.068766,0.056168,0.044094,0.044094,0.045144
1955,0.011253,0.011253,0.009719,0.012788,0.012276
1975,0.018734,0.017722,0.011646,0.011646,0.008608
1985,0.027204,0.021159,0.016121,0.016121,0.016121
2110,0.082464,0.066825,0.053081,0.065877,0.060664
2110,0.033175,0.022749,0.020379,0.020379,0.020379
2120,0.020283,0.016038,0.014623,0.014623,0.013679
2140,0.064486,0.070093,0.064953,0.070093,0.070093
2145,0.02331,0.017716,0.028438,0.022378,0.018182
2155,0.041299,0.043155,0.039907,0.043155,0.042691
2205,0.013152,0.009524,0.008163,0.009524,0.009977
2230,0.034978,0.022422,0.021076,0.026906,0.026906
2230,0.003139,0.003139,0,0,0
2235,0.020582,0.012081,0.007159,0.019239,0.011186
2335,0.006424,0.006424,0.004711,0.002998,0.002998
2335,0.026552,0.023983,0.024411,0.022698,0.022698
2355,0.036093,0.03397,0.031423,0.031423,0.031423
2385,0.012159,0.009224,0.011321,0.011321,0.009224
2415,0.047619,0.045135,0.027329,0.027329,0.027329
2425,0.018969,0.016495,0.005773,0.005773,0.005773
2465,0.088032,0.083164,0.082353,0.081542,0.078702
2570,0.023346,0.045525,0.019066,0.021012,0.046693
2620,0.041221,0.033206,0.025191,0.025954,0.024809
2655,0.036535,0.033522,0.036911,0.032015,0.036158
2725,0.018716,0.01211,0.01211,0.01211,0.01211
2770,0.017329,0.013357,0.014801,0.015523,0.013718
2800,0.051429,0.055357,0.036786,0.0375,0.036786
2845,0.045694,0.042882,0.031634,0.037258,0.031986
2870,0.052265,0.049477,0.05122,0.052962,0.050174
2945,0.028183,0.033616,0.017657,0.033956,0.033956
2955,0.034518,0.032149,0.020981,0.020305,0.020981
3010,0.022924,0.024585,0.011296,0.015282,0.014618
3010,0.050166,0.047841,0.04485,0.045515,0.04485
3015,0.04743,0.038143,0.040133,0.041128,0.033831
3070,0.044625,0.041042,0.03127,0.030945,0.031922
3085,0.026256,0.024959,0.022366,0.022366,0.023015
3085,0.028201,0.025284,0.023339,0.024635,0.024635
3170,0.054259,0.058991,0.050473,0.05142,0.049842
3285,0.023135,0.022222,0.019482,0.020091,0.019482
3290,0.035866,0.028571,0.028267,0.028267,0.029787
3365,0.022288,0.023477,0.022883,0.023477,0.023477
3385,0.025111,0.023634,0.020975,0.020975,0.020975
3405,0.028194,0.018796,0.01351,0.01351,0.01351
3465,0.032035,0.027417,0.02482,0.02482,0.023377
3465,0.009524,0.007792,0.007792,0.008081,0.007792
3540,0.026554,0.027119,0.025989,0.025989,0.025989
3570,0.030532,0.021008,0.016246,0.018768,0.019048
3575,0.028531,0.018462,0.01958,0.017343,0.01958
3690,0.020054,0.01626,0.015447,0.016802,0.01626
3735,0.094779,0.102008,0.082731,0.081392,0.080054
3735,0.024096,0.023293,0.020616,0.022222,0.02008
3735,0.032664,0.031058,0.025971,0.026774,0.027309
3800,0.034737,0.031579,0.028421,0.029737,0.028684
3805,0.02707,0.020237,0.020499,0.021813,0.020499
3820,0.01466,0.013874,0.012304,0.012304,0.012304
3990,0.020551,0.012531,0.010276,0.012531,0.010526
4045,0.043263,0.032138,0.026205,0.025711,0.025711
4100,0.025122,0.020732,0.018293,0.019756,0.01878
4215,0.037485,0.034638,0.033452,0.03013,0.027758
4260,0.029577,0.024413,0.023474,0.020892,0.019014
4280,0.046495,0.03715,0.02757,0.030607,0.03014
4325,0.046474,0.046012,0.046936,0.046936,0.046243
4360,0.004358,0.004817,0.00344,0.00344,0.00344
4425,0.023277,0.015141,0.018983,0.014011,0.013333
4490,0.021158,0.032739,0.016481,0.031403,0.030067
4735,0.056389,0.056177,0.048574,0.053432,0.049842
4855,0.003296,0.002884,0.00309,0.002884,0.002884
5025,0.068856,0.060896,0.05592,0.059303,0.05592
5145,0.021186,0.022741,0.018076,0.018076,0.018076
5200,0.032308,0.029423,0.025,0.026923,0.026923
5330,0.037148,0.034709,0.029831,0.033021,0.029831
5340,0.040262,0.04176,0.033708,0.033146,0.032959
5345,0.016838,0.017025,0.016277,0.015154,0.012161
5350,0.026542,0.023178,0.019252,0.020935,0.016449
5375,0.029209,0.026047,0.028093,0.026419,0.026047
5390,0.028942,0.025232,0.023562,0.023562,0.023562
5455,0.019982,0.015949,0.020165,0.020165,0.020165
5560,0.031475,0.022122,0.030216,0.030755,0.023201
5605,0.038002,0.035326,0.031579,0.034612,0.032114
5735,0.023191,0.021796,0.018483,0.019355,0.018483
5825,0.037082,0.022833,0.020086,0.020944,0.020086
